NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4051,GALI-GPS,4051,172.23.251.165 255.255.255.252,80M,80M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4052,INST-ITALIANO;ID:26075,4052,172.23.248.25 255.255.255.252,10M,10M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4053,MAZAR;ID:25710,4053,172.23.253.205 255.255.255.252,140M,140M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4054,GALI-GRUPO-FALCON,4054,172.23.243.121 255.255.255.252,200M,200M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4055,GPON-GALI-FRESH-TECHS,4055,172.23.243.253 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4056,GALI-CORPORACION-XDV,4056,172.23.243.241 255.255.255.252,80M,80M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4057,BEKESANTOS;ID:22647,4057,172.23.247.213 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4058,BIXA;ID:26189,4058,172.23.245.137 255.255.255.252,80M,80M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4059,GALI-CONTRUCTORA-IHI,4059,172.23.247.141 255.255.255.252,50M,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4060,GALI-CLARKEMODET,4060,172.23.241.81 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4061,GALI-GRUPO-LATAM,4061,172.23.241.21 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4063,GALI-AXESS-NET,4063,172.23.241.25 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4,CCSJ4500CREX2_xe-0/0/11_ELUN_SINAI,,,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.953,ELUN-SILVERDATA-TF;ID:26508,953,190.94.244.113 255.255.255.252,400M,400M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.959,ELUN-VENCREDSANB,959,172.23.251.109 255.255.255.252,160M,160M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.976,ELUN-TELENET-TORRE-F,976,172.23.243.129 255.255.255.252,TELENET-CENTRO,TELENET-CENTRO,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.979,INV-PENA;ID:26328,979,172.23.244.77 255.255.255.252,300M,300M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.980,GAMA-SB-SW;ID:26091,980,172.23.244.49 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.1210,SINAI-SANTEC,1210,172.23.244.189 255.255.255.252,120M,120M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.1211,SINAI-MK_RES,1211,172.23.255.117 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.1216,SINAI-MENDEZ-GIMON,1216,172.23.242.1 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.1217,SINAI-ELECTROCONDUCT,1217,172.23.242.5 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.1218(shutdown),SINAI-IRVENET,1218,172.23.241.37 255.255.255.252,IRVENET,IRVENET,
 VECREDNOC1004X1,TenGigabitEthernet1/0/4.1219,SINAI-HERMANDAD-GALL,1219,172.23.241.97 255.255.255.252,200M,200M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/5,,,,,,
 VECREDNOC1004X1,GigabitEthernet0(shutdown),,,,,,
 CRED1006X1,Loopback0,VECCSNOC7206X2#,,181.225.41.19 255.255.255.255,,,
,,,,,,,
 CRED1006X1,Port-channel1,CCSJ5120CREDX1_ae1(BACKBONE),,,,,
 CRED1006X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,172.23.249.5 255.255.255.240,,,
 CRED1006X1,Port-channel1.30,CRED-LEBRUN,30,172.23.249.35 255.255.255.240,,,
 CRED1006X1,Port-channel2,CCSJ5120CREDX1_ae2(PROVIDERS),,,,,
 CRED1006X1,Port-channel2.915,LEV3-CL_IP - FRO2006909960,915,4.15.156.46 255.255.255.252,,,
 CRED1006X1,Port-channel3,CCSJ5120CREDX1_ae3(cust),,,,,
 CRED1006X1,Port-channel3.251(shutdown),CRED-SILVERDATA,251,190.94.199.185 255.255.255.252,SILVERDATA,SILVERDATA,
 CRED1006X1,Port-channel3.269,CRED-TVZ_POZ-2021-2,269,172.23.255.53 255.255.255.252,,,
 CRED1006X1,Port-channel3.279,CRED-TVZ_POZ-2022-1,279,172.23.255.97 255.255.255.252,,,
 CRED1006X1,Port-channel3.281,CRED-TVZ-MTN-2022-1,281,172.23.253.237 255.255.255.252,,,
 CRED1006X1,Port-channel3.282,CRED-TVZ_POZ-2022-2,282,172.23.252.125 255.255.255.252,,,
 CRED1006X1,Port-channel3.283,CRED-TVZ-CA1-2022,283,172.23.250.25 255.255.255.252,,,
 CRED1006X1,Port-channel3.284,CRED-TVZ-LC1-2022,284,172.23.251.25 255.255.255.252,,,
 CRED1006X1,Port-channel3.556(shutdown),GALI-LyH-NETWORKS,556,172.23.241.13 255.255.255.252,GALI-LyH-NETWORKS,GALI-LyH-NETWORKS,
 CRED1006X1,Port-channel3.590,GALI-TECNOIMPULSO,590,172.23.245.121 255.255.255.252,TECNOIMPULSO,TECNOIMPULSO,
 CRED1006X1,Port-channel3.1041,CARACAS-RED-TELECOM;ID:26256,1041,190.94.243.89 255.255.255.248,CCSRED,CCSRED,
 CRED1006X1,Port-channel3.1042,DORAL-PRAG;ID:26056,1042,172.23.245.125 255.255.255.252,,,
 CRED1006X1,Port-channel3.1218,SINAI-IRVENET,1218,172.23.241.37 255.255.255.252,IRVENET,IRVENET,
 CRED1006X1,Port-channel3.1532,PCR-DATINVOZ-TDELTA,1532,172.23.250.17 255.255.255.252,PCR-DATINVOZ-TDELTA,PCR-DATINVOZ-TDELTA,
 CRED1006X1,Port-channel3.1574,GALI-INTERNET-DED,1574,172.23.241.217 255.255.255.252,400M,400M,
