NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 VELEBNOC1002X1,GigabitEthernet0/1/5.627,RED1-VL627-BOL-BET-SHMUEL-ESTE,627,190.94.210.189 255.255.255.252,4M,4M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.630(shutdown),RED1-VL630-BOL-CHARVENCA-CSP,630,172.23.252.221 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.633,RED1-VL633-BOL-PEPSICO-PANAM,633,172.23.248.61 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.635,RED1-VL635-BOL-SMARTCALL,635,172.23.248.97 255.255.255.252,30M,30M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.637,RED1-VL637-BOL-VALORALTA,637,172.23.248.185 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.638(shutdown),RED1-VL638-BOL-CASA-JACKELIN,638,190.94.208.45 255.255.255.252,6M,6M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.639,RED1-VL639-BOL-REVISTA-EXCLUSIVA,639,172.23.248.213 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.641,BOL-CONSIS,641,172.23.247.41 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.642,51200,642,172.23.247.45 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.644,BOL-HEB-COLEGIO,644,172.23.254.185 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.645,LEB-HILTI,645,172.23.253.241 255.255.255.252,6M,6M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.647,BOL-OPAS-PRAGMA,647,172.23.247.177 255.255.255.252,30M,30M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.648,BOL-GALPON-NODO,648,190.94.208.221 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.650,BOL-MICROFILMS,650,172.23.247.173 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.651,BOL-GALAXIA-MEDICA,651,172.23.245.5 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.652,BOL-LA-PERLA,652,172.23.245.37 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.653,BOL-PEPSICO-GALPONES,653,172.23.245.45 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.654,BOL-CGSI,654,172.23.245.65 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.656,BOL-OSERCA,656,172.23.245.133 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.657,BOL-MAPLOCA,657,172.23.245.153 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.658,BOL-OLTP-URB,658,172.23.255.237 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.659,BOL-ALBORADA,659,172.23.245.145 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.660,BOL-PROD_KHYM,660,172.23.245.189 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.661,BOL-OLTP-ATM,661,172.23.244.65 255.255.255.252,60M,60M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.662,,662,190.94.250.185 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.664,BOL-CASIO-PPAL-IP,664,172.23.251.161 255.255.255.252,100M,100M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.665,BOL-CASIO-PPAL-MGM,665,172.23.249.81 255.255.255.240,,,
 VELEBNOC1002X1,GigabitEthernet0/1/5.666,BOL-CAUCHOS-MUNDIAL,666,172.23.243.133 255.255.255.252,100M,100M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.667,BOL-LIBERTY-OFINCA,667,172.23.243.209 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.668,BOL-GRUPO-PHX,668,172.23.243.181 255.255.255.252,60M,60M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.669,BOL-COLEGIO-FRANCIA,669,172.23.243.185 255.255.255.252,200M,200M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.670,BOL-BRANZA-1800,670,172.23.243.221 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.671,BOL-AGROP-MUNDIAL,671,172.23.243.225 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/6,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/7,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/7.120,LEBH-MAILVE,120,181.225.41.1 255.255.255.240,,,
 VELEBNOC1002X1,GigabitEthernet0/1/7.122,LEBH-MAZARS,122,181.225.40.201 255.255.255.248,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/8(shutdown),,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/9(shutdown),,,,,,
 VELEBNOC1002X1,TenGigabitEthernet0/2/0,,,,,,
 VELEBNOC1002X1,TenGigabitEthernet0/2/0.29,L3-LEBRUN,29,172.23.249.19 255.255.255.240,,,
 VELEBNOC1002X1,TenGigabitEthernet0/2/0.30,CRED-LEBRUN,30,172.23.249.37 255.255.255.240,,,
 VELEBNOC1002X1,GigabitEthernet0,,,10.0.0.1 255.255.255.252,,,
 VECCSNOC7206X3,Tunnel0,JC-STUFF,,192.168.245.142 255.255.255.252,,,

 VECCSNOC7206X3,Tunnel1(shutdown),,,,,,
 VECCSNOC7206X3,Loopback0,VECCSNOC7206X3,,181.225.41.20 255.255.255.255,,,
 VECCSNOC7206X3,Loopback1,,,181.225.46.247 255.255.255.255,,,
 VECCSNOC7206X3,GigabitEthernet0/1,,,,,,
 VECCSNOC7206X3,GigabitEthernet0/1.9,,9 native,172.23.249.6 255.255.255.240,,,
 VECCSNOC7206X3,GigabitEthernet0/1.30,CRED-LEBRUN,30,172.23.249.36 255.255.255.240,,,
 VECCSNOC7206X3,GigabitEthernet0/2,,,,,,
 VECCSNOC7206X3,GigabitEthernet0/2.1,,1 native,172.23.253.129 255.255.255.248,,,
 VECCSNOC7206X3,GigabitEthernet0/2.101(shutdown),CONEX-CIX-PEERING,101,172.23.255.189 255.255.255.252,,,
 VECCSNOC7206X3,GigabitEthernet0/2.319,,319,190.94.253.121 255.255.255.252,10M,10M,
 VECCSNOC7206X3,GigabitEthernet0/2.678,CONEX-EAGLE,678,172.23.255.41 255.255.255.252,20M,20M,
 VECCSNOC7206X3,GigabitEthernet0/2.683,CONEX-IG-NAGUANAGUA,683,172.23.248.125 255.255.255.252,4M,4M,
 VECCSNOC7206X3,GigabitEthernet0/3,,,,,,
 VECCSNOC7206X3,GigabitEthernet0/3.520,"NEUTRONA - SID82073",520,,,,
 VECCSNOC7206X3,GigabitEthernet0/3.600,NV-CARTONERAMCY,600,172.23.252.153 255.255.255.252,20M,20M,
 VECCSNOC7206X3,GigabitEthernet0/3.602(shutdown),IJDLUD-OFICINA,602,172.23.251.5 255.255.255.252,,,
 VECCSNOC7206X3,GigabitEthernet0/3.603(shutdown),RED4-VL603-IGELIA-TEMPLO,603,172.23.251.9 255.255.255.252,6M,6M,
 VECCSNOC7206X3,GigabitEthernet0/3.604,LAB-ABBOT,604,172.23.251.1 255.255.255.252,4M,4M,
 VECCSNOC7206X3,GigabitEthernet0/3.605,RED4-NV-LAB-VITA,605,172.23.250.53 255.255.255.252,2M,2M,
 VECCSNOC7206X3,GigabitEthernet0/3.606,RED4-VL606-NV-GFT-SOLUCIONES,606,172.23.250.177 255.255.255.252,15M,15M,
 VECCSNOC7206X3,GigabitEthernet0/3.607,RED4-VL607-NV-TODOBOMBAS-PRESIDENTE,607,172.23.250.221 255.255.255.252,20M,20M,
 VECCSNOC7206X3,GigabitEthernet0/3.609,RED4-VL609-NV-DYKASA,609,172.23.248.9 255.255.255.252,20M,20M,
 VECCSNOC7206X3,GigabitEthernet0/3.611,RED4-VL611-NV-LAB-VIVAX,611,172.23.254.173 255.255.255.252,10M,10M,
 VECCSNOC7206X3,GigabitEthernet0/3.612,RED4-VL612-GIORGIO,612,172.23.248.137 255.255.255.252,8M,8M,
 VECCSNOC7206X3,GigabitEthernet0/3.613,RED4-VL613-NV-POLIVENSE,613,172.23.248.157 255.255.255.252,10M,10M,
 VECCSNOC7206X3,GigabitEthernet0/3.615(shutdown),NV-PLAN-SUAREZ,615,172.23.252.193 255.255.255.252,20M,20M,
 VECCSNOC7206X3,GigabitEthernet0/3.1729(shutdown),Embajada-Brasil,1729,172.23.254.113 255.255.255.252,,,
 VECCSNOC7206X3,GigabitEthernet0/3.3574,ITX-2,3574,172.23.253.221 255.255.255.252,6M,6M,
 VECCSNOC7206X3,Serial1/0(shutdown),,,,,,
 VECCSNOC7206X3,Serial1/1(shutdown),,,,,,
 VECCSNOC7206X3,Serial1/2(shutdown),,,,,,
 VECCSNOC7206X3,Serial1/3(shutdown),,,,,,
 VECCSNOC7206X3,GigabitEthernet2/0,RED GPON 1,,,,,
 VECCSNOC7206X3,Serial3/0:3,DIARIO-TAL-CUAL,,200.62.16.229 255.255.255.252,,,
 VECCSNOC7206X3,Serial3/0:4,,,10.255.255.6 255.255.255.252,,,
 VECCSNOC7206X3,Serial3/3:0,Nature-Sunshine,,172.23.254.181 255.255.255.252,,,
 VECCSNOC7206X3,Serial3/5:0,Manufactura_Enveta CANTV_ID:G0638,,172.23.253.237 255.255.255.252,,,
 VECCSNOC7206X3,GigabitEthernet5/0,CCSJ4500CREX1_ge-0/0/17,,,,,
 VECCSNOC7206X3,GigabitEthernet5/0.951,ELUN-UNIVERSAL,951,172.23.254.229 255.255.255.252,15M,15M,
 VECCSNOC7206X3,GigabitEthernet5/0.952,ELUN-JC-SB,952,172.23.249.133 255.255.255.252,50M,50M,
 VECCSNOC7206X3,GigabitEthernet5/0.953,ELUN-CARTONERACCS,953,172.23.252.149 255.255.255.252,50M,50M,
